id,count,phylum,class,order,family
1,50,Acanthocephala,Archiacanthocephala,Gigantorhynchida,Gigantorhynchidae
2,50,Acanthocephala,Archiacanthocephala,Moniliformida,Moniliformidae
3,50,Acanthocephala,Archiacanthocephala,Oligacanthorhynchida,Oligacanthorhynchidae
4,30,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae
5,50,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Pomphorhynchidae
6,30,Acanthocephala,Palaeacanthocephala,Polymorphida,Centrorhynchidae
7,50,Acanthocephala,Palaeacanthocephala,Polymorphida,Plagiorhynchidae
8,50,Annelida,Polychaeta,Capitellida,Arenicolidae
8,50,Annelida,Polychaeta,Phyllodocida,Acoetidae
8,50,Annelida,Polychaeta,Terebellida,Acrocirridae
8,50,Annelida,Oligochaeta,Opisthopora,Ailoscolecidae
8,50,Annelida,Hirudinea,Branchiobdellida,Bdellodrilidae
9,50,Arthropoda,Arachnida,Araneae,Mimetidae
10,40,Arthropoda,Chilopoda,Geophilomorpha,Geophilidae
12,40,Arthropoda,Insecta,Coleoptera,Chrysomelidae
13,61,Arthropoda,Insecta,Coleoptera,Histeridae
14,50,Arthropoda,Insecta,Diptera,Chironomidae 
15,44,Arthropoda,Insecta,Lepidoptera,Pieridae
16,40,Brachiopoda,Rhynchonellata,Spiriferida,Acrospiriferidae
17,40,Brachiopoda,Rhynchonellata,Spiriferida,Ambocoeliidae
17,40,Brachiopoda,Rhynchonellata,Atrypida,Anazygidae
17,40,Brachiopoda,Rhynchonellata,Atrypida,Anoplothecidae
17,40,Brachiopoda,Lingulata,Lingulida,Acrothelidae
17,40,Brachiopoda,Lingulata,Acrotretida,Acrotretidae
17,40,Brachiopoda,Strophomenata,Productida,Anopliidae
17,40,Bryozoa,Gymnolaemata,Cryptostomata,Acanthocladiidae
18,40,Bryozoa,Gymnolaemata,Cheilostomatida,Adeonidae
18,40,Bryozoa,Gymnolaemata,Cheilostomatida,Aeteidae
18,40,Bryozoa,Stenolaemata,Cyclostomatida,Crisiidae
18,40,Bryozoa,Phylactolaemata,Plumatellida,Cristatellidae
18,20,Chordata,Amphibia,Anura,Brachycephalidae
19,20,Chordata,Amphibia,Anura,Bufonidae
20,20,Chordata,Amphibia,Anura,Centrolenidae
21,20,Chordata,Amphibia,Anura,Dendrobatidae
22,20,Chordata,Amphibia,Anura,Hylidae
